sampleDate,site,sampleTime,dissolvedOxygen,Temperature,salinity,conductivity,speciesName,Length,Count,siteComment,observers,dateId,obsId,lengthId,specObsId,modDate,sampleDateTime
6/19/12,HI_Bare_2,1315,6.69,23.2,31.7,48.55,NA,NA,0,NA,"Andrew, Victoria, DB, BR, CB, AS",NA,NA,NA,NA,NA,6/19/12 13:15
6/18/12,SB_Bare_8,NA,NA,22.8,32,48.86,NA,NA,0,NA,"Andrew, Victoria, DB, BR, CB, AS",NA,NA,NA,NA,NA,NA
6/18/12,SB_Bare_2,1240,NA,NA,NA,NA,NA,NA,0,NA,"Andrew, Victoria, DB, BR, CB, AS",NA,NA,NA,NA,NA,6/18/12 12:40
9/25/12,HI_Bare_2,947,6.83,20,31.9,48.85,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9/25/12 9:47
9/25/12,HI_Bare_6,1045,6.83,20.4,31.9,48.76,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9/25/12 10:45
9/26/12,SB_Bare_7,1016,8.52,20.7,32.4,49.41,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9/26/12 10:16
6/18/13,SB_Bare_1,821,6.04,22.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9/16/13,HI_81,1055,6.98,22.9,33.6,51.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6/9/14,SB_Bare_1,1410,9.1,25.2,30.7,47.27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9/18/14,HI_Bare_1,1002,8.92,22.6,31.1,47.7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9/18/14,HI_Bare_2,1012,9,22.7,31,47.53,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9/18/14,HI_Bare_4,1037,7.3,22.7,31.1,47.76,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9/18/14,HI_Bare_6,1050,7.88,22.6,31.1,47.72,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9/18/14,HI_77,1102,8.2,22.8,31.2,47.76,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6/11/15,HI_Bare_1,935,8.25,24.4,34,51.078,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6/11/15,HI_Bare_2,943,8.3,24.5,34,51.243,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9/9/15,HI_Bare_6,1229,8.1,28.4,33.9,51.685,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9/8/15,SB_Bare_1,1348,11.6,28.5,34.2,52.12,NA,NA,0,some seagrass here and at all bare sites,NA,NA,NA,NA,NA,NA,NA
10/26/16,HI_77,1025,6.92,14.1,31.1,47.68,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/26/16,HI_10,1049,7.35,14.1,30.8,47.33,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/26/16,HI_81,1104,6.84,13.9,30.7,47.23,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/26/16,HI_Bare_1,1118,6.84,13.8,30.6,47.13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/26/16,HI_Bare_2,1126,6.87,13.8,30.6,47.02,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/26/16,HI_Bare_4,1140,6.81,14.7,31.1,47.72,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/26/16,HI_Bare_6,1156,6.16,15.5,31.1,47.67,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/27/16,SB_106,1000,6.5,15.5,31.1,77.3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/27/16,SB_128,1134,6.46,15.5,31.1,76.8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10/27/16,SB_148,1100,6.3,15.1,31.1,47.6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6/1/16,HI_Bare_1,1036,7.41,24.4,30.9,47.45,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6/1/16,HI_Bare_2,1053,7.48,24.4,30.9,47.45,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6/1/16,HI_81,1115,6.83,24.2,30.6,47.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6/1/16,HI_Bare_4,1137,6.99,24.5,30.7,46.67,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6/1/16,HI_Bare_6,1149,7.17,24.1,30.8,47.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
