"","doy","t","temp","seas","thresh","X5Ev"
"1",1,1982-01-01,6.89,6.0213,9.8011,0
"2",2,1982-01-02,7.12,5.9619,9.754,0
"3",3,1982-01-03,7.35,5.9009,9.7066,0
"4",4,1982-01-04,7.59,5.8374,9.6579,0
"5",5,1982-01-05,7.38,5.7714,9.6088,0
"6",6,1982-01-06,5.85,5.7045,9.5577,0
"7",7,1982-01-07,7.18,5.6374,9.5112,0
"8",8,1982-01-08,6.56,5.5699,9.4651,0
"9",9,1982-01-09,4.31,5.502,9.4208,0
"10",10,1982-01-10,2.06,5.4345,9.3773,0
"11",11,1982-01-11,-0.19,5.3679,9.3366,0
"12",12,1982-01-12,-0.39,5.3027,9.2992,0
"13",13,1982-01-13,-0.6,5.2419,9.2635,0
"14",14,1982-01-14,-0.49,5.1875,9.2345,0
"15",15,1982-01-15,-0.49,5.1398,9.2087,0
"16",16,1982-01-16,-0.26,5.0977,9.1791,0
"17",17,1982-01-17,-0.02,5.0599,9.1451,0
"18",18,1982-01-18,0.22,5.0258,9.1079,0
"19",19,1982-01-19,-0.19,4.9966,9.0707,0
"20",20,1982-01-20,-0.49,4.973,9.0358,0
"21",21,1982-01-21,0.02,4.9544,9.0038,0
"22",22,1982-01-22,-0.09,4.9391,8.9754,0
"23",23,1982-01-23,0.32,4.9265,8.9499,0
"24",24,1982-01-24,0.73,4.9139,8.9199,0
"25",25,1982-01-25,1.14,4.8999,8.8824,0
"26",26,1982-01-26,1.35,4.8851,8.8452,0
"27",27,1982-01-27,-0.6,4.872,8.8028,0
"28",28,1982-01-28,-0.6,4.8633,8.7773,0
"29",29,1982-01-29,0.53,4.8586,8.7576,0
"30",30,1982-01-30,3.05,4.8581,8.7475,0
"31",31,1982-01-31,5.57,4.8622,8.7375,0
"32",32,1982-02-01,8.1,4.8726,8.7415,0
"33",33,1982-02-02,6.15,4.8924,8.7525,0
"34",34,1982-02-03,6.36,4.9223,8.7727,0
"35",35,1982-02-04,8.61,4.9625,8.8017,0
"36",36,1982-02-05,7.59,5.0122,8.8341,0
"37",37,1982-02-06,6.53,5.0696,8.8699,0
"38",38,1982-02-07,5.47,5.1328,8.9063,0
"39",39,1982-02-08,4.42,5.201,8.9503,0
"40",40,1982-02-09,5.44,5.274,8.9925,0
"41",41,1982-02-10,5.03,5.3505,9.0341,0
"42",42,1982-02-11,4.11,5.4305,9.0845,0
"43",43,1982-02-12,3.9,5.5118,9.1323,0
"44",44,1982-02-13,4.04,5.5905,9.1835,0
"45",45,1982-02-14,4.18,5.6664,9.2309,0
"46",46,1982-02-15,4.31,5.7408,9.2794,0
"47",47,1982-02-16,8.1,5.8161,9.3361,0
"48",48,1982-02-17,8.4,5.8954,9.4032,0
"49",49,1982-02-18,4.82,5.979,9.4767,0
"50",50,1982-02-19,4.93,6.0658,9.5594,0
"51",51,1982-02-20,5.2,6.1568,9.6482,0
"52",52,1982-02-21,5.47,6.2525,9.7369,0
"53",53,1982-02-22,5.74,6.3542,9.8334,0
"54",54,1982-02-23,5.03,6.4623,9.9337,0
"55",55,1982-02-24,6.36,6.5795,10.0538,0
"56",56,1982-02-25,5.95,6.7067,10.1928,0
"57",57,1982-02-26,3.9,6.842,10.3477,0
"58",58,1982-02-27,4.11,6.9817,10.5159,0
"59",59,1982-02-28,4.31,7.1233,10.6843,0
"60",61,1982-03-01,4.52,7.4115,11.0181,0
"61",62,1982-03-02,6.26,7.5576,11.189,0
"62",63,1982-03-03,7.59,7.704,11.3502,0
"63",64,1982-03-04,5.74,7.8476,11.5052,0
"64",65,1982-03-05,7.07,7.9885,11.6533,0
"65",66,1982-03-06,6.36,8.126,11.795,0
"66",67,1982-03-07,5.64,8.2612,11.936,0
"67",68,1982-03-08,4.93,8.3979,12.0772,0
"68",69,1982-03-09,4.52,8.539,12.2196,0
"69",70,1982-03-10,5.54,8.6832,12.3589,0
"70",71,1982-03-11,6.46,8.8316,12.507,0
"71",72,1982-03-12,9.63,8.9842,12.6572,0
"72",73,1982-03-13,10.48,9.1412,12.8028,0
"73",74,1982-03-14,11.34,9.3031,12.9569,0
"74",75,1982-03-15,12.19,9.4715,13.1131,0
"75",76,1982-03-16,7.59,9.6452,13.2698,0
"76",77,1982-03-17,8.2,9.8222,13.4245,0
"77",78,1982-03-18,8.92,10.0014,13.5852,0
"78",79,1982-03-19,9.43,10.1795,13.7394,0
"79",80,1982-03-20,9.7,10.3563,13.9018,0
"80",81,1982-03-21,9.97,10.5331,14.0602,0
"81",82,1982-03-22,10.25,10.7089,14.2141,0
"82",83,1982-03-23,9.84,10.8835,14.3766,0
"83",84,1982-03-24,9.94,11.0559,14.5345,0
"84",85,1982-03-25,10.35,11.2245,14.6995,0
"85",86,1982-03-26,11.68,11.3884,14.8566,0
"86",87,1982-03-27,10.11,11.5488,15.0043,0
"87",88,1982-03-28,8.54,11.7091,15.1545,0
"88",89,1982-03-29,6.97,11.8693,15.3095,0
"89",90,1982-03-30,9.33,12.0308,15.4585,0
"90",91,1982-03-31,11.47,12.1943,15.6099,0
"91",92,1982-04-01,13.21,12.3604,15.7625,0
"92",93,1982-04-02,13.52,12.5287,15.9123,0
"93",94,1982-04-03,12.6,12.6979,16.0677,0
"94",95,1982-04-04,11.68,12.869,16.2253,0
"95",96,1982-04-05,10.76,13.0438,16.386,0
"96",97,1982-04-06,10.96,13.2223,16.5527,0
"97",98,1982-04-07,5.85,13.4043,16.7245,0
"98",99,1982-04-08,4.72,13.5859,16.8968,0
"99",100,1982-04-09,6.36,13.7649,17.0704,0
"100",101,1982-04-10,7.48,13.9414,17.2455,0
"101",102,1982-04-11,8.61,14.1148,17.4184,0
"102",103,1982-04-12,9.73,14.2856,17.5934,0
"103",104,1982-04-13,11.47,14.4541,17.7742,0
"104",105,1982-04-14,13.31,14.621,17.9543,0
"105",106,1982-04-15,13.93,14.7856,18.1308,0
"106",107,1982-04-16,14.75,14.9473,18.3055,0
"107",108,1982-04-17,15.26,15.1081,18.4823,0
"108",109,1982-04-18,15.77,15.2684,18.6515,0
"109",110,1982-04-19,16.28,15.4306,18.8206,0
"110",111,1982-04-20,16.28,15.5963,18.9901,0
"111",112,1982-04-21,15.97,15.7656,19.1611,0
"112",113,1982-04-22,14.44,15.9379,19.3378,0
"113",114,1982-04-23,12.19,16.1108,19.5075,0
"114",115,1982-04-24,13.48,16.283,19.68,0
"115",116,1982-04-25,14.78,16.4571,19.8464,0
"116",117,1982-04-26,16.08,16.6356,20.0149,0
"117",118,1982-04-27,16.18,16.8179,20.1844,0
"118",119,1982-04-28,16.79,16.9994,20.3413,0
"119",120,1982-04-29,12.7,17.1802,20.4866,0
"120",121,1982-04-30,14.03,17.3582,20.6351,0
"121",122,1982-05-01,15.22,17.533,20.7789,0
"122",123,1982-05-02,16.42,17.7044,20.9309,0
"123",124,1982-05-03,17.61,17.8725,21.0838,0
"124",125,1982-05-04,17.82,18.04,21.2405,0
"125",126,1982-05-05,17.92,18.2095,21.4041,0
"126",127,1982-05-06,17.82,18.3775,21.5653,0
"127",128,1982-05-07,18.84,18.5419,21.7265,0
"128",129,1982-05-08,18.53,18.7034,21.8887,0
"129",130,1982-05-09,18.22,18.8654,22.061,0
"130",131,1982-05-10,17.92,19.0297,22.243,0
"131",132,1982-05-11,17.51,19.1987,22.4302,0
"132",133,1982-05-12,18.63,19.3728,22.6215,0
"133",134,1982-05-13,20.58,19.5508,22.8175,0
"134",135,1982-05-14,21.29,19.7297,23.0056,0
"135",136,1982-05-15,21.46,19.9083,23.1873,0
"136",137,1982-05-16,21.63,20.0858,23.3671,0
"137",138,1982-05-17,21.8,20.2644,23.5461,0
"138",139,1982-05-18,22.93,20.4443,23.7201,0
"139",140,1982-05-19,23.24,20.6264,23.8924,0
"140",141,1982-05-20,23.65,20.8096,24.0728,0
"141",142,1982-05-21,23.95,20.991,24.2427,0
"142",143,1982-05-22,23,21.1689,24.4173,0
"143",144,1982-05-23,22.04,21.3426,24.5876,0
"144",145,1982-05-24,21.09,21.5142,24.7548,0
"145",146,1982-05-25,20.99,21.6873,24.9236,0
"146",147,1982-05-26,21.6,21.8602,25.094,0
"147",148,1982-05-27,21.6,22.0319,25.2609,0
"148",149,1982-05-28,22.11,22.2011,25.4295,0
"149",150,1982-05-29,23.21,22.3695,25.6025,0
"150",151,1982-05-30,24.31,22.5376,25.7773,0
"151",152,1982-05-31,25.41,22.7064,25.9525,0
"152",153,1982-06-01,26.51,22.8766,26.1302,0
"153",154,1982-06-02,26.1,23.0476,26.2985,0
"154",155,1982-06-03,25.18,23.2198,26.4651,0
"155",156,1982-06-04,23.95,23.3916,26.626,0
"156",157,1982-06-05,23.61,23.5615,26.7773,0
"157",158,1982-06-06,23.27,23.7317,26.9273,0
"158",159,1982-06-07,22.93,23.9032,27.0724,0
"159",160,1982-06-08,20.99,24.0759,27.2134,0
"160",161,1982-06-09,21.4,24.2477,27.3438,0
"161",162,1982-06-10,22.83,24.4164,27.4598,0
"162",163,1982-06-11,22.42,24.5795,27.5645,0
"163",164,1982-06-12,21.84,24.7359,27.6605,0
"164",165,1982-06-13,21.26,24.8861,27.7494,0
"165",166,1982-06-14,20.68,25.0319,27.8335,0
"166",167,1982-06-15,22.42,25.1744,27.9174,0
"167",168,1982-06-16,23.54,25.316,28.0045,0
"168",169,1982-06-17,24.98,25.4559,28.0974,0
"169",170,1982-06-18,25.28,25.5936,28.1961,0
"170",171,1982-06-19,24.84,25.7273,28.2965,0
"171",172,1982-06-20,24.4,25.8563,28.3893,0
"172",173,1982-06-21,23.95,25.9813,28.4834,0
"173",174,1982-06-22,25.38,26.1027,28.5679,0
"174",175,1982-06-23,23.95,26.2216,28.6518,0
"175",176,1982-06-24,24.46,26.3383,28.7346,0
"176",177,1982-06-25,25.18,26.4523,28.8157,0
"177",178,1982-06-26,25.73,26.563,28.8904,0
"178",179,1982-06-27,26.27,26.6678,28.9626,0
"179",180,1982-06-28,26.82,26.7672,29.0271,0
"180",181,1982-06-29,26.82,26.8619,29.086,0
"181",182,1982-06-30,27.02,26.9528,29.1449,0
"182",183,1982-07-01,27.02,27.0414,29.2005,0
"183",184,1982-07-02,25.69,27.1281,29.2537,0
"184",185,1982-07-03,25.41,27.213,29.3084,0
"185",186,1982-07-04,25.13,27.296,29.3612,0
"186",187,1982-07-05,24.85,27.3757,29.4129,0
"187",188,1982-07-06,24.57,27.4499,29.4668,0
"188",189,1982-07-07,25.59,27.5184,29.5229,0
"189",190,1982-07-08,27.02,27.582,29.5798,0
"190",191,1982-07-09,28.86,27.6402,29.6326,0
